title,genre,language,region,runtime,rating,mood_tags
Inception,Sci-Fi,English,USA,148,8.8,excited motivated thrilling
Dilwale Dulhania Le Jayenge,Romance,Hindi,India,189,8.0,happy romantic funny
3 Idiots,Comedy,Hindi,India,170,8.4,happy funny motivated
Sholay,Action,Hindi,India,204,8.1,thrilling excited motivated
Pather Panchali,Drama,Bengali,India,125,8.3,sad dark motivated
Super Deluxe,Thriller,Tamil,India,176,8.3,dark thrilling funny
Baahubali: The Beginning,Action,Telugu,India,159,8.0,excited motivated thrilling
Interstellar,Sci-Fi,English,USA,169,8.6,sad motivated excited
The Dark Knight,Action,English,USA,152,9.0,dark thrilling motivated
Parasite,Thriller,Korean,Korea,132,8.6,dark funny thrilling
Spirited Away,Fantasy,Japanese,Japan,125,8.6,happy excited romantic
Chokher Bali,Romance,Bengali,India,145,7.1,sad romantic dark
Nayagan,Crime,Tamil,India,145,8.6,dark motivated sad
C/o Kancharapalem,Drama,Telugu,India,142,8.9,happy romantic sad
The Shawshank Redemption,Drama,English,USA,142,9.3,motivated sad happy
Zindagi Na Milegi Dobara,Comedy,Hindi,India,155,8.2,happy excited funny
The Lion King,Animation,English,USA,88,8.5,happy sad motivated
The Godfather,Drama,English,USA,175,9.2,dark emotional deep
Forrest Gump,Drama,English,USA,142,8.8,happy emotional moving
Avengers Endgame,Action,English,USA,181,8.4,excited thrilling happy
Titanic,Romance,English,USA,194,7.9,romantic emotional sad
Pulp Fiction,Thriller,English,USA,154,8.9,dark thrilled excited
Goodfellas,Drama,English,USA,146,8.7,dark thrilled excited
Demon Slayer: Mugen Train,Action,Japanese,Japan,117,8.2,excited thrilling sad
My Sassy Girl,Romance,Korean,Korea,137,8.0,happy romantic funny
Maula Jatt,Action,Punjabi,Pakistan,153,8.2,excited thrilled motivated
