title,genre,language,region,runtime,rating,mood_tags,overview,id,ml_features
Inception,Sci-Fi,English,USA,148,8.8,excited futuristic dark,,1,Sci-Fi excited futuristic dark English 
Dilwale Dulhania Le Jayenge,Romance,Hindi,India,189,8.0,romantic love emotional,,2,Romance romantic love emotional Hindi 
3 Idiots,Comedy,Hindi,India,170,8.4,happy funny cheerful,,3,Comedy happy funny cheerful Hindi 
Sholay,Action,Hindi,India,204,8.1,excited thrilling action,,4,Action excited thrilling action Hindi 
Pather Panchali,Drama,Bengali,India,125,8.3,emotional deep moving,,5,Drama emotional deep moving Bengali 
Super Deluxe,Thriller,Tamil,India,176,8.3,thrilled dark suspense,,6,Thriller thrilled dark suspense Tamil 
Baahubali: The Beginning,Action,Telugu,India,159,8.0,excited thrilling action,,7,Action excited thrilling action Telugu 
Interstellar,Sci-Fi,English,USA,169,8.6,excited futuristic dark,,8,Sci-Fi excited futuristic dark English 
The Dark Knight,Action,English,USA,152,9.0,excited thrilling action,,9,Action excited thrilling action English 
Parasite,Thriller,Korean,Korea,132,8.6,thrilled dark suspense,,10,Thriller thrilled dark suspense Korean 
Spirited Away,Fantasy,Japanese,Japan,125,8.6,general,,11,Fantasy general Japanese 
Chokher Bali,Romance,Bengali,India,145,7.1,romantic love emotional,,12,Romance romantic love emotional Bengali 
Nayagan,Crime,Tamil,India,145,8.6,general,,13,Crime general Tamil 
C/o Kancharapalem,Drama,Telugu,India,142,8.9,emotional deep moving,,14,Drama emotional deep moving Telugu 
The Shawshank Redemption,Drama,English,USA,142,9.3,emotional deep moving,,15,Drama emotional deep moving English 
Zindagi Na Milegi Dobara,Comedy,Hindi,India,155,8.2,happy funny cheerful,,16,Comedy happy funny cheerful Hindi 
The Lion King,Animation,English,USA,88,8.5,happy funny family,,17,Animation happy funny family English 
The Godfather,Drama,English,USA,175,9.2,emotional deep moving,,18,Drama emotional deep moving English 
Forrest Gump,Drama,English,USA,142,8.8,emotional deep moving,,19,Drama emotional deep moving English 
Avengers Endgame,Action,English,USA,181,8.4,excited thrilling action,,20,Action excited thrilling action English 
Titanic,Romance,English,USA,194,7.9,romantic love emotional,,21,Romance romantic love emotional English 
Pulp Fiction,Thriller,English,USA,154,8.9,thrilled dark suspense,,22,Thriller thrilled dark suspense English 
Goodfellas,Drama,English,USA,146,8.7,emotional deep moving,,23,Drama emotional deep moving English 
Demon Slayer: Mugen Train,Action,Japanese,Japan,117,8.2,excited thrilling action,,24,Action excited thrilling action Japanese 
My Sassy Girl,Romance,Korean,Korea,137,8.0,romantic love emotional,,25,Romance romantic love emotional Korean 
Maula Jatt,Action,Punjabi,Pakistan,153,8.2,excited thrilling action,,26,Action excited thrilling action Punjabi 
